source,target,weight,first_year,last_year
Arif Widodo,Rifqi Firmansyah,2,2018,2025
Arif Widodo,Farid Baskoro,2,2020,2025
I Gusti Putu Asto Buditjahjanto,Sayyidul Aulia Alamsyah,1,2025,2025
Fadhilah Qalbi Annisa,Riskyana Dewi Intan P,4,2023,2025
Ike Fitriyaningsih,Riskyana Dewi Intan P,1,2025,2025
Elly Matul Imah,Riskyana Dewi Intan P,6,2022,2025
Harmon Prayogi,Riskyana Dewi Intan P,1,2025,2025
Fadhilah Qalbi Annisa,Ike Fitriyaningsih,1,2025,2025
Elly Matul Imah,Fadhilah Qalbi Annisa,3,2023,2025
Fadhilah Qalbi Annisa,Harmon Prayogi,1,2025,2025
Elly Matul Imah,Ike Fitriyaningsih,1,2025,2025
Harmon Prayogi,Ike Fitriyaningsih,1,2025,2025
Elly Matul Imah,Harmon Prayogi,1,2025,2025
Anita Safitri,Riska Dhenabayu,3,2023,2025
Anita Safitri,Nanang Hoesen. H. A,5,2023,2025
Anita Safitri,Hujjatullah Fazlurrahman,3,2022,2025
Nanang Hoesen. H. A,Riska Dhenabayu,3,2023,2025
Hujjatullah Fazlurrahman,Riska Dhenabayu,4,2023,2025
Hujjatullah Fazlurrahman,Nanang Hoesen. H. A,3,2023,2025
Dhiyan Septa Wihara,Ratih Amelia,3,2024,2025
Muhammad Fachmi,Nadia Nur Thahirrah,1,2025,2025
Muhammad Fachmi,Ratih Amelia,2,2024,2025
Hafid Kholidi Hadi,Muhammad Fachmi,2,2024,2025
Fresha Kharisma,Muhammad Fachmi,1,2025,2025
Nadia Nur Thahirrah,Ratih Amelia,4,2024,2025
Hafid Kholidi Hadi,Nadia Nur Thahirrah,2,2024,2025
Fresha Kharisma,Nadia Nur Thahirrah,3,2024,2025
Hafid Kholidi Hadi,Ratih Amelia,2,2024,2025
Fresha Kharisma,Ratih Amelia,3,2024,2025
Fresha Kharisma,Hafid Kholidi Hadi,3,2022,2025
Achmad Kautsar,Dhiyan Septa Wihara,2,2024,2025
Dhiyan Septa Wihara,Hujjatullah Fazlurrahman,1,2025,2025
Achmad Kautsar,Hujjatullah Fazlurrahman,5,2018,2025
Ika Diyah Candra Arifah,Renny Sari Dewi,3,2024,2025
Hafid Kholidi Hadi,Renny Sari Dewi,2,2022,2025
Renny Sari Dewi,Riska Dhenabayu,2,2025,2025
Ika Diyah Candra Arifah,Riska Dhenabayu,1,2025,2025
Hafid Kholidi Hadi,Riska Dhenabayu,1,2025,2025
Muhammad Febrilian Dwi Syahputra,Riska Dhenabayu,1,2025,2025
Achmad Fitro,Riska Dhenabayu,2,2024,2025
Muhammad Febrilian Dwi Syahputra,Renny Sari Dewi,1,2025,2025
Anita Safitri,Renny Sari Dewi,4,2022,2025
Achmad Fitro,Renny Sari Dewi,1,2025,2025
Anita Safitri,Muhammad Febrilian Dwi Syahputra,1,2025,2025
Achmad Fitro,Muhammad Febrilian Dwi Syahputra,1,2025,2025
Achmad Fitro,Anita Safitri,1,2025,2025
Aditya Chandra Hermawan,Reza Rahmadian,6,2021,2025
Bachtiar Syaiful Bachri,Mustaji,3,2020,2025
Bachtiar Syaiful Bachri,Siti Masitoh,4,2018,2025
Andi Mariono,Rusijono,2,2024,2025
Fajar Arianto,Rusijono,2,2025,2026
Andi Iwan Nurhidayat,Wiyli Yustanti,2,2024,2025
Agus Prihanto,Anita Qoiriah,5,2018,2024
Andi Iwan Nurhidayat,Anita Qoiriah,4,2021,2024
Agus Prihanto,Yuni Yamasari,5,2020,2024
Andi Iwan Nurhidayat,Yuni Yamasari,6,2021,2024
Agus Prihanto,Andi Iwan Nurhidayat,1,2024,2024
Andi Iwan Nurhidayat,Ricky Eka Putra,1,2024,2024
Agus Prihanto,I Made Suartana,2,2022,2024
Aditya Prapanca,I Made Suartana,3,2018,2024
I Made Suartana,Naim Rochmawati,2,2022,2024
Aditya Prapanca,Agus Prihanto,2,2022,2024
Agus Prihanto,Naim Rochmawati,3,2022,2024
Aditya Prapanca,Anita Qoiriah,1,2024,2024
Aditya Prapanca,Naim Rochmawati,2,2022,2024
Aditya Prapanca,Yuni Yamasari,3,2022,2024
Ricky Eka Putra,Wiyli Yustanti,2,2021,2024
Anita Qoiriah,Wiyli Yustanti,6,2018,2024
Wiyli Yustanti,Yuni Yamasari,9,2020,2024
I Made Suartana,Paramitha Nerisafitra,1,2024,2024
Paramitha Nerisafitra,Ricky Eka Putra,1,2024,2024
Aditya Prapanca,Aries Dwi Indriyanti,1,2024,2024
Aries Dwi Indriyanti,Ervin Yohannes,1,2024,2024
Aries Dwi Indriyanti,Yuni Yamasari,1,2024,2024
Aries Dwi Indriyanti,I Kadek Dwi Nuryana,3,2020,2024
Aditya Prapanca,Ervin Yohannes,2,2024,2024
Aditya Prapanca,I Kadek Dwi Nuryana,1,2024,2024
Ervin Yohannes,Yuni Yamasari,1,2024,2024
Ervin Yohannes,I Kadek Dwi Nuryana,1,2024,2024
I Kadek Dwi Nuryana,Yuni Yamasari,1,2024,2024
Aditya Prapanca,Reza Rahmadian,4,2023,2024
Reza Rahmadian,Widi Aribowo,12,2021,2024
Mahendra Widyartono,Reza Rahmadian,14,2020,2024
Aditya Prapanca,Mahendra Widyartono,4,2023,2024
Mahendra Widyartono,Widi Aribowo,14,2021,2024
I Gde Agung Sri Sidhimantra,I Gusti Putu Asto Buditjahjanto,1,2024,2024
Dodik Arwin Dermawan,I Gusti Putu Asto Buditjahjanto,1,2024,2024
Asmunin,I Gde Agung Sri Sidhimantra,1,2024,2024
I Made Suartana,Subuh Isnur Haryudo,1,2024,2024
Pradini Puspitaningayu,Subuh Isnur Haryudo,1,2024,2024
Dwi Fatrianto Suyatno,Rahadian Bisma,1,2024,2024
Bonda Sisephaputra,Rahadian Bisma,1,2024,2024
Anggraeni Widya Purwita,Dwi Fatrianto Suyatno,1,2024,2024
Anggraeni Widya Purwita,Bonda Sisephaputra,1,2024,2024
Ardhini Warih Utami,Ghea Sekar Palupi,1,2024,2024
Ghea Sekar Palupi,Wiyli Yustanti,1,2024,2024
Ardhini Warih Utami,Wiyli Yustanti,1,2024,2024
Andi Iwan Nurhidayat,Rindu Puspita Wibawa,1,2024,2024
Rindu Puspita Wibawa,Yuni Yamasari,1,2024,2024
Rindu Puspita Wibawa,Wiyli Yustanti,1,2024,2024
Nurhayati,Pradini Puspitaningayu,3,2024,2024
Pradini Puspitaningayu,Unit Three Kartini,2,2018,2024
Pradini Puspitaningayu,Ulfa Siti Nuraini,1,2024,2024
Ibnu Febry Kurniawan,Pradini Puspitaningayu,1,2024,2024
Ibnu Febry Kurniawan,Ulfa Siti Nuraini,1,2024,2024
Parama Diptya Widayaka,Puput Wanarti Rusimamto,1,2024,2024
Lilik Anifah,Parama Diptya Widayaka,2,2023,2024
Miftahur Rohman,Widi Aribowo,5,2021,2024
Farid Baskoro,Widi Aribowo,4,2022,2024
Hesti Khuzaimah Nurul Yusufiyah,Nur Kholis,1,2024,2024
Parama Diptya Widayaka,Rifqi Firmansyah,1,2024,2024
