nama_dosen,degree,constraint,effective_size,degree_centrality,betweenness,closeness
"Dr. Dhiyan Septa Wihara, S.P., M.M.",7,0.4010782455423766,3.7387445887445887,0.07608695652173914,2.9861442904921164e-05,0.2271604938271605
"Achmad Fitro, S.Kom., M.Kom.",5,0.4656965836964795,2.5583333333333336,0.05434782608695652,2.9861442904921164e-05,0.2804878048780488
"Dodik Arwin Dermawan, S.ST., S.T., M.T.",6,0.5070195893912915,4.407843137254901,0.06521739130434782,0.005159164979684724,0.3274021352313167
"Asmunin, S.Kom., M.Kom.",16,0.22791080531881405,13.383643892339544,0.17391304347826086,0.14617583539222806,0.41818181818181815
"Andi Iwan Nurhidayat, S.Kom., M.T.",1,1.0,1.0,0.010869565217391304,0.0,0.2958199356913183
"Ari Kurniawan, S.Kom., M.T.",4,0.46473331584305677,3.1166666666666663,0.043478260869565216,0.0008380609768991209,0.33212996389891697
"Salamun Rohman Nudin, S.Kom., M.Kom.",5,0.6365668093067327,2.826666666666666,0.05434782608695652,5.972288580984233e-05,0.2996742671009772
"I Gde Agung Sri Sidhimantra, S.Kom., M.Kom.",4,0.7381423197894803,2.0787878787878786,0.043478260869565216,0.0,0.2987012987012987
"Rosita, S.Pd., M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.25770308123249297
"Faris Abdi El Hakim, S.Kom., M.Tr.Kom.",4,0.6015732531892998,2.1,0.043478260869565216,0.0,0.2987012987012987
"Dimas Novian Aditia Syahputra, S.Tr.T., M.Tr.T.",5,0.6964533905111632,2.822222222222222,0.05434782608695652,5.972288580984233e-05,0.2996742671009772
"Moch Deny Pratama, S.Tr.Kom., M.Kom.",4,0.45727188444822375,1.875,0.043478260869565216,0.0,0.2987012987012987
"Prof. Dr. Mustaji, M.Pd.",3,0.38708333333333333,2.8541666666666665,0.03260869565217391,0.021739130434782608,0.21247113163972287
"Prof.Dr. Rusijono, M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.17590822179732313
"Prof. Dr. Siti Masitoh, M.Pd.",2,0.6617361111111111,1.75,0.021739130434782608,0.0,0.21149425287356322
"Prof.Dr.Yatim Riyanto,M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.21052631578947367
"Dr. Bachtiar Syaiful Bachri, M.Pd",5,0.43423611111111127,4.409999999999999,0.05434782608695652,0.12470138557095078,0.2658959537572254
"Dr. H. Andi Mariono, M.Pd.",1,1.0,1.0,0.010869565217391304,0.0,0.17557251908396945
"Dr. Fajar Arianto, S.Pd., M.Pd.",4,0.568142361111111,3.23125,0.043478260869565216,0.021978021978021976,0.21296296296296297
